slide_id,fold,raw_attention_shape,a_low_proto_patch_shape,attention_dim_judgement,warning,proto_attention_row_sum_min,proto_attention_row_sum_max,proto_attention_cosine_mean,proto_attention_cosine_median,proto_attention_cosine_max,proto_top1_unique_ratio,proto_top3_overlap_mean,proto_top5_overlap_mean,proto_top1_pairwise_dist_mean,proto_top1_pairwise_dist_median
2483211-B2,0,"(1, 1, 16, 288)","(16, 288)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9665612483957484,0.9887122419733753,0.9999590924576703,0.0625,1.0,1.0,0.0,0.0
2483846-B,0,"(1, 1, 16, 194)","(16, 194)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.0000001192092896,0.97107647026909,0.989526521930228,0.9998855316453433,0.0625,1.0,1.0,0.0,0.0
2483961-B3,0,"(1, 1, 16, 190)","(16, 190)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9794232226016443,0.9910652254720891,0.9999034051268818,0.0625,0.9222222222222223,0.8066666666666668,0.0,0.0
2483993-B2,0,"(1, 1, 16, 228)","(16, 228)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9710718064124767,0.9884374886526051,0.9999605749868783,0.0625,1.0,0.8733333333333334,0.0,0.0
2484727-B2,0,"(1, 1, 16, 145)","(16, 145)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9812030361996761,0.9926785224660455,0.9999322701696324,0.0625,1.0,1.0,0.0,0.0
2484771-B3,0,"(1, 1, 16, 95)","(16, 95)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9736173966829864,0.9897577959779673,0.9999593293864623,0.0625,0.8666666666666666,1.0,0.0,0.0
2484791-B3,0,"(1, 1, 16, 79)","(16, 79)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.976410404185742,0.9904422571867639,0.9998937054112472,0.125,1.0,1.0,9505.373049199303,0.0
2485275-B2,0,"(1, 1, 16, 320)","(16, 320)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0,0.982283301318265,0.9931904321271905,0.999892329776919,0.0625,0.8666666666666666,1.0,0.0,0.0
2485969-B2,0,"(1, 1, 16, 403)","(16, 403)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9763335732954569,0.991060496314033,0.9999261802265528,0.125,1.0,1.0,512.0,0.0
2486687-B3,0,"(1, 1, 16, 211)","(16, 211)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998211860657,1.0000001192092896,0.9725683998623235,0.9892477465188365,0.9998253394286228,0.0625,1.0,1.0,0.0,0.0
2486833-B2,0,"(1, 1, 16, 154)","(16, 154)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0,0.9673675189264623,0.9877440477680796,0.9999451478596822,0.0625,0.8861111111111111,1.0,0.0,0.0
2487140-B2,0,"(1, 1, 16, 140)","(16, 140)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9675388424365605,0.988403908474123,0.9999519141612409,0.0625,1.0,1.0,0.0,0.0
2487146-B2,0,"(1, 1, 16, 156)","(16, 156)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9767178520651137,0.9913501609427107,0.999784075051176,0.0625,1.0,1.0,0.0,0.0
2487237-B2,0,"(1, 1, 16, 191)","(16, 191)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999997615814209,1.0000001192092896,0.978227917199707,0.9912428170320113,0.9999112574972285,0.0625,1.0,1.0,0.0,0.0
2487274-B2,0,"(1, 1, 16, 197)","(16, 197)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.0000001192092896,0.9702029430980791,0.9886388569994513,0.9999175107415225,0.0625,0.8916666666666667,1.0,0.0,0.0
2487376-B2,0,"(1, 1, 16, 344)","(16, 344)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.0000001192092896,0.9733865046372342,0.9901551190730691,0.9999136113085278,0.0625,1.0,1.0,0.0,0.0
2487558-B2,0,"(1, 1, 16, 137)","(16, 137)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9830194992334057,0.9929589243430406,0.999920619655468,0.0625,0.9222222222222222,1.0,0.0,0.0
2488039-B2,0,"(1, 1, 16, 232)","(16, 232)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.000000238418579,0.9608010462613785,0.9858668782727782,0.99997179792355,0.0625,1.0,1.0,0.0,0.0
2488050-B3,0,"(1, 1, 16, 243)","(16, 243)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9749088148025377,0.9901207148139257,0.999888649850756,0.0625,1.0,1.0,0.0,0.0
2488330-B2,0,"(1, 1, 16, 277)","(16, 277)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.965124151687787,0.986728511173184,0.9999469651967563,0.0625,1.0,1.0,0.0,0.0
2488769-B2,0,"(1, 1, 16, 161)","(16, 161)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.0000001192092896,0.971912304921299,0.9882877694634653,0.9998694653222346,0.0625,0.9583333333333334,1.0,0.0,0.0
2489137-B4,0,"(1, 1, 16, 358)","(16, 358)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999998807907104,1.0000001192092896,0.9743935042809871,0.9885070667627223,0.9998491306485511,0.0625,1.0,0.9516666666666668,0.0,0.0
2489203-B,0,"(1, 1, 16, 388)","(16, 388)","raw_attn interpreted as [batch, heads, prototype_query, low_patch_source]",average_attn_weights=False not supported by current attention module; using module-specific return format.,0.9999999403953552,1.0000001192092896,0.9646150843753865,0.9860473245331658,0.9999553616318357,0.0625,1.0,1.0,0.0,0.0
