slide_id,fold,prototype_id,anchor_rank,anchor_score,coord_x,coord_y
2462598-B,0,10,2,0.035942915827035904,32512.0,50578.0
2462598-B,0,10,3,0.03482436761260033,113600.0,47314.0
2462598-B,0,11,1,0.1139197051525116,113600.0,51410.0
2462598-B,0,11,2,0.061218488961458206,32512.0,50578.0
2462598-B,0,11,3,0.05531960353255272,113600.0,47314.0
2462598-B,0,12,1,0.08929738402366638,113600.0,51410.0
2462598-B,0,12,2,0.0514419786632061,32512.0,50578.0
2462598-B,0,12,3,0.04890108481049538,113600.0,47314.0
2462598-B,0,13,1,0.11005654186010361,113600.0,51410.0
2462598-B,0,13,2,0.05934009701013565,32512.0,50578.0
2462598-B,0,13,3,0.054538171738386154,113600.0,47314.0
2462598-B,0,14,1,0.06108175218105316,113600.0,51410.0
2462598-B,0,14,2,0.04015037789940834,32512.0,50578.0
2462598-B,0,14,3,0.039560072124004364,113600.0,47314.0
2462598-B,0,15,1,0.10186926275491714,113600.0,51410.0
2462598-B,0,15,2,0.0555972121655941,32512.0,50578.0
2462598-B,0,15,3,0.052223172038793564,113600.0,47314.0
2462637-B2,0,0,1,0.06733573228120804,40576.0,67169.0
2462637-B2,0,0,2,0.030813246965408325,40576.0,46689.0
2462637-B2,0,0,3,0.026494240388274193,103765.0,39872.0
