slide_id,fold_ids,num_folds,status,scale_ratio,n_low,n_high,n_low_sampled,n_high_sampled,nearest_dist_mean,nearest_dist_median,nearest_dist_p10,nearest_dist_p90,nearest_dist_min,nearest_dist_max,coverage_256,coverage_512,coverage_1024
25049999B2,0,1,ok,4.0,201,2832,201,2000,48310.65305179432,48439.5848780868,32366.418381802043,64096.40779077191,18394.953465556795,76378.79027583508,0.0,0.0,0.0
25049999B2,0,1,ok,8.0,201,2832,201,2000,133839.94108858367,133894.3464396411,114875.22082288719,152855.82323293955,99869.39727464065,165700.94995804943,0.0,0.0,0.0
25050326B,4,1,ok,1.0,126,1893,126,1893,1738.5801572292219,1448.1546878700494,1024.0,2896.309375740099,0.0,4579.4672179195695,0.05916534601162177,0.05916534601162177,0.2879027997886952
25050326B,4,1,ok,2.0,126,1893,126,1893,7656.966308507309,4718.108201387501,1992.4499993726317,18607.115548139598,545.7041322914827,25810.272702937487,0.0,0.0,0.0306391970417327
25050326B,4,1,ok,4.0,126,1893,126,1893,53519.93609713445,53295.70287556024,36495.475409911225,70727.29171739708,26424.702552725168,79018.70690539044,0.0,0.0,0.0
25050326B,4,1,ok,8.0,126,1893,126,1893,160086.31405792077,159932.8750726379,142952.74241426378,177610.77083801344,132692.5130706326,186135.64048026912,0.0,0.0,0.0
25050345B2,4,1,ok,1.0,220,3075,220,2000,1780.0306272908076,2048.0,1024.0,2896.309375740099,0.0,4853.541593517048,0.056,0.056,0.278
25050345B2,4,1,ok,2.0,220,3075,220,2000,7149.590360393402,5272.564794215607,2180.5412748192693,15650.130862072687,227.69497139814047,28670.680842979644,0.002,0.008,0.0225
25050345B2,4,1,ok,4.0,220,3075,220,2000,36859.69375600436,40651.05827857728,7070.087481778426,68313.11206186577,365.67882082505133,80726.88109917291,0.0,0.001,0.0015
25050345B2,4,1,ok,8.0,220,3075,220,2000,137084.34515891343,143932.1186183611,100348.69275034918,171782.79613377663,86315.92864008357,184258.65152008468,0.0,0.0,0.0
